drug_name,pubchem_id,smile
2-amino-5-methoxy-5-oxopentanoic acid,73913,COC(=O)CCC(C(=O)O)N
2-amino-6-chlorobenzoic acid,75071,C1=CC(=C(C(=C1)Cl)C(=O)O)N
2-amino-6-fluorobenzoic acid,521142,C1=CC(=C(C(=C1)F)C(=O)O)N
2-bromodecanoic acid,98310,CCCCCCCCC(C(=O)O)Br
2-bromohexanoic acid,12013,CCCCC(C(=O)O)Br
2-bromooctanoic acid,552003,CCCCCCC(C(=O)O)Br
2-Hydroxychalcone,5367146,C1=CC=C(C=C1)C(=O)C=CC2=CC=CC=C2O
2-Methoxy-4-propylphenol,17739,CCCC1=CC(=C(C=C1)O)OC
2-Methoxy-D-Phenylalanine,10631698,COC1=CC=CC=C1CC(C(=O)O)N
2-Methoxyhydroquinone,69988,COC1=C(C=CC(=C1)O)O
2-oxindole,321710,C1C2=CC=CC=C2NC1=O
3-(1-Naphthyl)-D-Alanine,6950505,C1=CC=C2C(=C1)C=CC=C2CC(C(=O)O)N
3-(2-Naphthyl)alanine,250399,C1=CC=C2C=C(C=CC2=C1)CC(C(=O)O)N
3-(2-Naphthyl)-D-alanine,2733661,C1=CC=C2C=C(C=CC2=C1)CC(C(=O)O)N
3-(2-Thienyl)alanine,91444,C1=CSC(=C1)CC(C(=O)O)N
3-(2-Thienyl)-D-alanine,7111750,C1=CSC(=C1)CC(C(=O)O)N
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,3821570,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CC(=CC=C3)F)O
3-(3-Pyridinyl)alanine,314100,C1=CC(=CN=C1)CC(C(=O)O)N
3-(pyridin-3-yl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,72036004,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CN=CC=C3)O
3-(Trifluoromethyl)phenylalanine,2777602,C1=CC(=CC(=C1)C(F)(F)F)CC(C(=O)O)N
"3,4-Dichloro-5-[(1,3-dichloropropan-2-yloxy)]-2(5H)-furanone",122208470,C(C(CCl)OC1C(=C(C(=O)O1)Cl)Cl)Cl
"3,4-Dichloro-cinnamaldehyde",13186065,C1=CC(=C(C=C1C=CC=O)Cl)Cl
"3,4-Dimethoxychalcone",5354494,COC1=C(C=C(C=C1)C=CC(=O)C2=CC=CC=C2)OC
"3,5-Diiodotyrosine",9305,C1=C(C=C(C(=C1I)O)I)CC(C(=O)O)N
"3,5-dimethylaniline",7949,CC1=CC(=CC(=C1)N)C
3-[(prop-2-ene-1-sulfinyl)sulfanyl]prop-1-ene,65036,C=CCSS(=O)CC=C
3-Chlorotyrosine,110992,C1=CC(=C(C=C1CC(C(=O)O)N)Cl)O
3-fluoroaniline,9742,C1=CC(=CC(=C1)F)N
3-Fluoro-DL-phenylalanine,9976,C1=CC(=CC(=C1)F)CC(C(=O)O)N
3-hydroxychalcone,5358381,C1=CC=C(C=C1)C(=O)C=CC2=CC(=CC=C2)O
3-Hydroxyphenylalanine,6950578,C1=CC(=CC(=C1)O)CC(C(=O)O)N
3-Hydroxytyrosine,836,C1=CC(=C(C=C1CC(C(=O)O)N)O)O
3-indolylacetonitrile,351795,C1=CC=C2C(=C1)C(=CN2)CC#N
3-Iodotyrosine,439744,C1=CC(=C(C=C1CC(C(=O)O)N)I)O
3-Methoxychalcone,5367166,COC1=CC=CC(=C1)C=CC(=O)C2=CC=CC=C2
3-Methoxy-D-Phenylalanine,10420176,COC1=CC=CC(=C1)CC(C(=O)O)N
3-Methyl-D-phenylalanine,6993650,CC1=CC(=CC=C1)CC(C(=O)O)N
3-Nitro-D-tyrosine,759471,C1=CC(=C(C=C1CC(C(=O)O)N)[N+](=O)[O-])O
3-oxo-C6-HSL,688505,CCCC(=O)CC(=O)NC1CCOC1=O
4-(Aminomethyl)-D-phenylalanine,7018015,C1=CC(=CC=C1CC(C(=O)O)N)CN
"4,5-dihydroxy-2,3-pentanedione",443434,CC(=O)C(=O)C(CO)O
4-Amino-D-phenylalanine,1268124,C1=CC(=CC=C1CC(C(=O)O)N)N
4-Benzoylphenylalanine,7020128,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)CC(C(=O)O)N
4-bromoaniline,7807,C1=CC(=CC=C1N)Br
4-Bromo-D-phenylalanine,671215,C1=CC(=CC=C1CC(C(=O)O)N)Br
4-Chloro-2-fluoro-DL-phenylalanine,3745699,C1=CC(=C(C=C1Cl)F)CC(C(=O)O)N
4-chloro-7-(trifluoromethyl)quinoline,67668,C1=CC2=C(C=CN=C2C=C1C(F)(F)F)Cl
4-chloroaniline,7812,C1=CC(=CC=C1N)Cl
4-Chlorochalcone,5377022,C1=CC=C(C=C1)C(=O)C=CC2=CC=C(C=C2)Cl
4-chloroquinoline,69140,C1=CC=C2C(=C1)C(=CC=N2)Cl
4-Cyanophenylalanine,1501865,C1=CC(=CC=C1CC(C(=O)O)N)C#N
4-Ethylcatechol,70761,CCC1=CC(=C(C=C1)O)O
4-Ethylguaiacol,62465,CCC1=CC(=C(C=C1)O)OC
4-Fluoro-2-methyl-D-phenylalanine,56971782,CC1=C(C=CC(=C1)F)CC(C(=O)O)N
4-Fluoro-D-phenylalanine,716314,C1=CC(=CC=C1CC(C(=O)O)N)F
4-fluoroindole,2774502,C1=CC2=C(C=CN2)C(=C1)F
4H-tomentosin,15109105,CC1CC2C(CC=C1CCC(C)O)C(=C)C(=O)O2
4-hydroxy coumarin,54682930,C1=CC=C2C(=C1)C(=CC(=O)O2)O
"4-Hydroxy-2,5-dimethyl-3(2H)-furanone",19309,CC1C(=O)C(=C(O1)C)O
4-Hydroxychalcone,5282361,C1=CC=C(C=C1)C(=O)C=CC2=CC=C(C=C2)O
4-Iodo-d-phenylalanine,2733279,C1=CC(=CC=C1CC(C(=O)O)N)I
4-methanesulfonylaniline,79617,CS(=O)(=O)C1=CC=C(C=C1)N
4-Methoxycarbonylphenylboronic acid,2734369,B(C1=CC=C(C=C1)C(=O)OC)(O)O
4-Methoxychalcone,641819,COC1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2
4-methoxy-cinnamaldehyde,641294,COC1=CC=C(C=C1)C=CC=O
4-Methylphenylalanine,151513,CC1=CC=C(C=C1)CC(C(=O)O)N
4-nitro-cinnamaldehyde,5354135,C1=CC(=CC=C1C=CC=O)[N+](=O)[O-]
4-Nitro-D-phenylalanine,679497,C1=CC(=CC=C1CC(C(=O)O)N)[N+](=O)[O-]
"5,8,11,14-Eicosatetraynoic acid",1780,CCCCCC#CCC#CCC#CCC#CCCCC(=O)O
5-Bromoindole,24905,C1=CC2=C(C=CN2)C=C1Br
"5-Chloro-1-(2-chloroacetyl)indoline-2,3-dione",11368908,C1=CC2=C(C=C1Cl)C(=O)C(=O)N2C(=O)CCl
5-Chloroindole,87110,C1=CC2=C(C=CN2)C=C1Cl
"5-decyl-1,3-thiazolidine-2,4-dione",71523933,CCCCCCCCCCC1C(=O)NC(=O)S1
5-Fluorocytosine,3366,C1=NC(=O)NC(=C1F)N
5-fluoroindole,67861,C1=CC2=C(C=CN2)C=C1F
5-Fluorouracil,3385,C1=C(C(=O)NC(=O)N1)F
"5-octyl-1,3-thiazolidine-2,4-dione",16058685,CCCCCCCCC1C(=O)NC(=O)S1
6-Aminoflavone,16217320,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)N
6-Chloroindole,87111,C1=CC(=CC2=C1C=CN2)Cl
6-Chlorooxindole,736344,C1C2=C(C=C(C=C2)Cl)NC1=O
6-fluoroindole,351278,C1=CC(=CC2=C1C=CN2)F
6-Gingerol,442793,CCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O
6-hydroxyflavone,72279,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O
7-bromoindole,2757020,C1=CC2=C(C(=C1)Br)NC=C2
7-chloroindole,104644,C1=CC2=C(C(=C1)Cl)NC=C2
7-chloroquinolin-4-ol,66593,C1=CC2=C(C=C1Cl)NC=CC2=O
7-fluoroindole,2774504,C1=CC2=C(C(=C1)F)NC=C2
"7-fluoroindoline-2,3-dione",586418,C1=CC2=C(C(=C1)F)NC(=O)C2=O
7-formylindole,2734629,C1=CC2=C(C(=C1)C=O)NC=C2
7-hydroxyindole,2737651,C1=CC2=C(C(=C1)O)NC=C2
7-methoxyindole,76660,COC1=CC=CC2=C1NC=C2
7-methylindole,70275,CC1=C2C(=CC=C1)C=CN2
7-nitroindole,23396,C1=CC2=C(C(=C1)[N+](=O)[O-])NC=C2
8-fluoroquinoline,67856,C1=CC2=C(C(=C1)F)N=CC=C2
"9-hydroxy-2-propyl-4H-pyrido[1,2-a]pyrimidin-4-one",12219996,CCCC1=CC(=O)N2C=CC=C(C2=N1)O
A-3,1960,C1=CC2=C(C=CC=C2Cl)C(=C1)S(=O)(=O)NCCN
Abacavir,441300,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO
Aceroside VIII,44715463,C1C(C(C(O1)OCC2C(C(C(C(O2)OC(CCCCC3=CC=C(C=C3)O)CCC4=CC=C(C=C4)O)O)O)O)O)(CO)O
Acetohydroxamic Acid,1990,CC(=O)NO
AFP1,5484726,C1CC(=O)C2=C1C3=C(C4=C(C=C3O)OC5C4C=CO5)OC2=O
Ajoene,5386591,C=CCSSC=CCS(=O)CC=C
Albendazole,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
Alexidine dihydrochloride,102678,CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N.Cl.Cl
Aloe-emodin,10207,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO
alpha-costic acid,89043384,CC1=CCCC2(C1CC(CC2)C(=C)C(=O)O)C
alpha-Humulene,5281520,CC1=CCC(C=CCC(=CCC1)C)(C)C
alpha-Longipinene,12311396,CC1=CCC2C3C1C2(CCCC3(C)C)C
alpha-mangostin,5281650,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C
alpha-Pinene,6654,CC1=CCC2CC1C2(C)C
alpha-tocopherol,14985,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C
Amikacin,37768,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N
Amikacin disulfate salt,19082597,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N.OS(=O)(=O)O.OS(=O)(=O)O
Aminocyclopropane,69828,C1CC1N
Aminosalicylic Acid,4649,C1=CC(=C(C=C1N)O)C(=O)O
Amlodipine,2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
Amoxicillin,33613,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C
Amphotericin B,5280965,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
Ampicillin,6249,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C
Amprenavir,65016,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N
Anidulafungin,166548,CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)NC4CC(C(NC(=O)C5C(C(CN5C(=O)C(NC(=O)C(NC(=O)C6CC(CN6C(=O)C(NC4=O)C(C)O)O)C(C(C7=CC=C(C=C7)O)O)O)C(C)O)C)O)O)O
Aniline,6115,C1=CC=C(C=C1)N
Anthraflavic acid,6776,C1=CC2=C(C=C1O)C(=O)C3=C(C2=O)C=C(C=C3)O
Anthranilate,227,C1=CC=C(C(=C1)C(=O)O)N
Apigenin,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
Arbekacin,68682,C1CC(C(OC1CN)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CO)O)N)O)NC(=O)C(CCN)O)N)N
Asperdiol,5358793,CC1=CCCC2(C(O2)CCC(=CC(C(CC1)C(=C)C)O)CO)C
Asperdiol acetate,6442232,CC1=CCCC2(C(O2)CCC(=CC(C(CC1)C(=C)C)O)COC(=O)C)C
Aspirin,2244,CC(=O)OC1=CC=CC=C1C(=O)O
Atazanavir,148192,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC
Atovaquone,74989,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O
Auranofin,16667669,CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+]
Autoinducer-2,446576,[B-]1(OC2(C(O1)(C(CO2)O)O)C)(O)O
Avermectin B1a,6434889,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C
Avibactam,9835049,C1CC(N2CC1N(C2=O)OS(=O)(=O)O)C(=O)N
Azidocillin,15574941,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N=[N+]=[N-])C(=O)O)C
Azithromycin,447043,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
Azlocillin,6479523,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)O)C
Aztreonam,5742832,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N
Bac8C,101744013,CCC(C)C(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C(C)C)C(=O)NC(C(C)CC)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)N)NC(=O)C(CCCN=C(N)N)N
Bactenecin,163998,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CCCN=C(N)N)N)C(=O)NC(CCCN=C(N)N)C(=O)O)C(C)C)CCCN=C(N)N)C(C)CC)C(C)C)C(C)C
Baicalein,5281605,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O
Baicalin,64982,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O
Bedaquiline,5388906,CN(C)CCC(C1=CC=CC2=CC=CC=C21)(C(C3=CC=CC=C3)C4=C(N=C5C=CC(=CC5=C4)Br)OC)O
Benzalacetone,637759,CC(=O)C=CC1=CC=CC=C1
Benzathine benzylpenicillin,25137901,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.C1=CC=C(C=C1)C[NH2+]CC[NH2+]CC2=CC=CC=C2
Benzbromarone,2333,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br
Benzethonium chloride,8478,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-]
Benzocaine,2337,CCOC(=O)C1=CC=C(C=C1)N
Benzoylperoxide,7187,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2
Benzylpenicillin,5904,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C
Bergamottin,5471349,CC(=CCCC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)C)C
Besifloxacin,10178705,C1CCN(CC(C1)N)C2=C(C=C3C(=C2Cl)N(C=C(C3=O)C(=O)O)C4CC4)F
beta-Caryophyllene,5281515,CC1=CCCC(=C)C2CC(C2CC1)(C)C
beta-Pinene,14896,CC1(C2CCC(=C)C1C2)C
beta-sitosterol glucoside,5742590,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C
Betulin,72326,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO
Betulinic acid,64971,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O
Bevirimat,457928,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)OC(=O)CC(C)(C)C(=O)O)C)C(=O)O
Bifonazole,2378,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4
Biphenyl,7095,C1=CC=C(C=C1)C2=CC=CC=C2
BMAP-18,168510728,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)O)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCCN)NC(=O)C(CC4=CC=CC=C4)NC(=O)C(CCCNC(=N)N)NC(=O)CN
BMAP-27,16130511,CCC(C)C(C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC2=CN=CN2)C(=O)NC(CC(C)C)C(=O)N)NC(=O)C(C(C)C)NC(=O)C3CCCN3C(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(CC4=CC=CC=C4)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC6=CC=CC=C6)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCCN)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(CCCNC(=N)N)NC(=O)CN
BMAP-28,16131512,CCC(C)C(C(=O)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(C(C)CC)NC(=O)C(C(C)CC)NC(=O)C1CCCN1C(=O)C(C(C)C)NC(=O)C(C(C)CC)NC(=O)C(C(C)CC)NC(=O)C2CCCN2C(=O)CNC(=O)C(CC3=CC=C(C=C3)O)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(CC4=CNC5=CC=CC=C54)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(C(C)CC)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)CNC(=O)CN
Brecanavir,5743186,CC1=NC(=CS1)COC2=CC=C(C=C2)CC(C(CN(CC(C)C)S(=O)(=O)C3=CC4=C(C=C3)OCO4)O)NC(=O)OC5COC6C5CCO6
Bromohexylmaleic anhydride,52942342,CCCCCCC1=C(C(=O)OC1=O)Br
BS-34,29314,CC(C(C1=CC=CC=C1)O)[NH2+]CC2=CC(=C(C=C2)OC)OC.[Cl-]
"Butane-1,4-diamine",1045,C(CCN)CN
Butanol,263,CCCCO
Butein,5281222,C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O)O
Butenafine hydrochloride,443867,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32.Cl
Butoconazole,47472,C1=CC(=C(C(=C1)Cl)SC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)Cl
Butoconazole nitrate,47471,C1=CC(=C(C(=C1)Cl)SC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)Cl.[N+](=O)(O)[O-]
Butyl gallate,14128,CCCCOC(=O)C1=CC(=C(C(=C1)O)O)O
C4-HSL,10130163,CCCC(=O)NC1CCOC1=O
C6-HSL,10058590,CCCCCC(=O)NC1CCOC1=O
C8-HSL,6914579,CCCCCCCC(=O)NC1CCOC1=O
Cadmium Ion,31193,[Cd+2]
Caffeic Acid,689043,C1=CC(=C(C=C1C=CC(=O)O)O)O
Caffeine,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
Calanolide A,64972,CCCC1=CC(=O)OC2=C1C3=C(C=CC(O3)(C)C)C4=C2C(C(C(O4)C)C)O
Calcium chloride,5284359,[Cl-].[Cl-].[Ca+2]
CAMA,73555192,C[As](=O)(O)[O-].C[As](=O)(O)[O-].[Ca+2]
Camphene,6616,CC1(C2CCC(C2)C1=C)C
Capreomycin,3000502,CC1C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)NC(C(=O)NCC(C(=O)N1)N)C2CCN=C(N2)N)CNC(=O)CC(CCCN)N.C1CN=C(NC1C2C(=O)NCC(C(=O)NC(C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)N2)CNC(=O)CC(CCCN)N)CO)N)N
Carabrol,15690483,CC(CCC1C2C1(CC3C(C2)C(=C)C(=O)O3)C)O
Carabrone,164879,CC(=O)CCC1C2C1(CC3C(C2)C(=C)C(=O)O3)C
Carbonyl cyanide m-chlorophenylhydrazone,2603,C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N
Carboxymethyl chitosan,118797615,CC(=O)NC1C(C(C(OC1OC2C(OC(C(C2O)N)O)CO)CO)OC3C(C(C(C(O3)CO)O)O)N)O
Carminic acid,10255083,CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O
Carnitine hydrochloride,5970,C[N+](C)(C)CC(CC(=O)O)O.[Cl-]
Carolacton,56935649,CC1CCCC(C(OC(=O)C(C(C=C1)O)O)C(=CC(C)C(=O)C(C)C(CC(=O)O)OC)C)C
Carvacrol,10364,CC1=C(C=C(C=C1)C(C)C)O
Caspofungin,16119814,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(CCN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(C4=CC=C(C=C4)O)O)O)C(CCN)O)O)NCCN)O
