micro_name,micro_tid,drug_name,pubchem_id,smile,Pubmed
Haemophilus influenzae,727,3-hydroxychalcone,5358381,C1=CC=C(C=C1)C(=O)C=CC2=CC(=CC=C2)O,25154700
Staphylococcus aureus,1280,3-Hydroxyphenylalanine,6950578,C1=CC(=CC(=C1)O)CC(C(=O)O)N,25658642
Staphylococcus aureus,1280,3-Hydroxytyrosine,836,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,25658642
Pseudomonas aeruginosa,287,3-indolylacetonitrile,351795,C1=CC=C2C(=C1)C(=CN2)CC#N,22251040
Staphylococcus aureus,1280,3-Iodotyrosine,439744,C1=CC(=C(C=C1CC(C(=O)O)N)I)O,25658642
Haemophilus influenzae,727,3-Methoxychalcone,5367166,COC1=CC=CC(=C1)C=CC(=O)C2=CC=CC=C2,25154700
Staphylococcus aureus,1280,3-Methoxy-D-Phenylalanine,10420176,COC1=CC=CC(=C1)CC(C(=O)O)N,25658642
Staphylococcus aureus,1280,3-Methyl-D-phenylalanine,6993650,CC1=CC(=CC=C1)CC(C(=O)O)N,25658642
Staphylococcus aureus,1280,3-Nitro-D-tyrosine,759471,C1=CC(=C(C=C1CC(C(=O)O)N)[N+](=O)[O-])O,25658642
Aeromonas sobria,646,3-oxo-C6-HSL,688505,CCCC(=O)CC(=O)NC1CCOC1=O,27118073
Serratia liquefaciens,614,3-oxo-C6-HSL,688505,CCCC(=O)CC(=O)NC1CCOC1=O,27118073
Staphylococcus aureus,1280,4-(Aminomethyl)-D-phenylalanine,7018015,C1=CC(=CC=C1CC(C(=O)O)N)CN,25658642
Bacillus cereus,1396,"4,5-dihydroxy-2,3-pentanedione",443434,CC(=O)C(=O)C(CO)O,17169556
Candida albicans,5476,"4,5-dihydroxy-2,3-pentanedione",443434,CC(=O)C(=O)C(CO)O,25101248
Staphylococcus aureus,1280,4-Amino-D-phenylalanine,1268124,C1=CC(=CC=C1CC(C(=O)O)N)N,25658642
Staphylococcus aureus,1280,4-Benzoylphenylalanine,7020128,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)CC(C(=O)O)N,25658642
Pseudomonas aeruginosa,287,4-bromoaniline,7807,C1=CC(=CC=C1N)Br,25537269
Staphylococcus aureus,1280,4-Bromo-D-phenylalanine,671215,C1=CC(=CC=C1CC(C(=O)O)N)Br,20580562
Staphylococcus aureus,1280,4-Chloro-2-fluoro-DL-phenylalanine,3745699,C1=CC(=C(C=C1Cl)F)CC(C(=O)O)N,25658642
Pseudomonas aeruginosa,287,4-chloro-7-(trifluoromethyl)quinoline,67668,C1=CC2=C(C=CN=C2C=C1C(F)(F)F)Cl,28350449
Pseudomonas aeruginosa,287,4-chloroaniline,7812,C1=CC(=CC=C1N)Cl,25537269
Haemophilus influenzae,727,4-Chlorochalcone,5377022,C1=CC=C(C=C1)C(=O)C=CC2=CC=C(C=C2)Cl,25154700
Serratia marcescens,615,4-chloroquinoline,69140,C1=CC=C2C(=C1)C(=CC=N2)Cl,28350449
Staphylococcus aureus,1280,4-Cyanophenylalanine,1501865,C1=CC(=CC=C1CC(C(=O)O)N)C#N,25658642
Escherichia coli,562,4-Ethylcatechol,70761,CCC1=CC(=C(C=C1)O)O,27808174
Escherichia coli,562,4-Ethylguaiacol,62465,CCC1=CC(=C(C=C1)O)OC,27808174
Staphylococcus aureus,1280,4-Fluoro-2-methyl-D-phenylalanine,56971782,CC1=C(C=CC(=C1)F)CC(C(=O)O)N,25658642
Staphylococcus aureus,1280,4-Fluoro-D-phenylalanine,716314,C1=CC(=CC=C1CC(C(=O)O)N)F,25658642
Pseudomonas aeruginosa,287,4-fluoroindole,2774502,C1=CC2=C(C=CN2)C(=C1)F,22251040
Candida albicans,5476,4H-tomentosin,15109105,CC1CC2C(CC=C1CCC(C)O)C(=C)C(=O)O2,26394911
Escherichia coli,562,4-hydroxy coumarin,54682930,C1=CC=C2C(=C1)C(=CC(=O)O2)O,25027570
Pseudomonas aeruginosa,287,"4-Hydroxy-2,5-dimethyl-3(2H)-furanone",19309,CC1C(=O)C(=C(O1)C)O,25085732
Haemophilus influenzae,727,4-Hydroxychalcone,5282361,C1=CC=C(C=C1)C(=O)C=CC2=CC=C(C=C2)O,25154700
Staphylococcus aureus,1280,4-Iodo-d-phenylalanine,2733279,C1=CC(=CC=C1CC(C(=O)O)N)I,25658642
Pseudomonas aeruginosa,287,4-methanesulfonylaniline,79617,CS(=O)(=O)C1=CC=C(C=C1)N,19855933
Vibrio anguillarum,55601,4-Methoxycarbonylphenylboronic acid,2734369,B(C1=CC=C(C=C1)C(=O)OC)(O)O,19778962
Vibrio campbellii,680,4-Methoxycarbonylphenylboronic acid,2734369,B(C1=CC=C(C=C1)C(=O)OC)(O)O,19778962
Vibrio cholerae,666,4-Methoxycarbonylphenylboronic acid,2734369,B(C1=CC=C(C=C1)C(=O)OC)(O)O,19778962
Vibrio vulnificus,672,4-Methoxycarbonylphenylboronic acid,2734369,B(C1=CC=C(C=C1)C(=O)OC)(O)O,19778962
Haemophilus influenzae,727,4-Methoxychalcone,641819,COC1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,25154700
Vibrio anguillarum,55601,4-methoxy-cinnamaldehyde,641294,COC1=CC=C(C=C1)C=CC=O,18793453
Vibrio vulnificus,672,4-methoxy-cinnamaldehyde,641294,COC1=CC=C(C=C1)C=CC=O,18793453
Staphylococcus aureus,1280,4-Methylphenylalanine,151513,CC1=CC=C(C=C1)CC(C(=O)O)N,25658642
Vibrio vulnificus,672,4-nitro-cinnamaldehyde,5354135,C1=CC(=CC=C1C=CC=O)[N+](=O)[O-],18793453
Staphylococcus aureus,1280,4-Nitro-D-phenylalanine,679497,C1=CC(=CC=C1CC(C(=O)O)N)[N+](=O)[O-],25658642
Candida albicans,5476,"5,8,11,14-Eicosatetraynoic acid",1780,CCCCCC#CCC#CCC#CCC#CCCCC(=O)O,21903824
Pseudomonas aeruginosa,287,5-Bromoindole,24905,C1=CC2=C(C=CN2)C=C1Br,25287229
Pseudomonas aeruginosa,287,"5-Chloro-1-(2-chloroacetyl)indoline-2,3-dione",11368908,C1=CC2=C(C=C1Cl)C(=O)C(=O)N2C(=O)CCl,28654117
Pseudomonas aeruginosa,287,5-Chloroindole,87110,C1=CC2=C(C=CN2)C=C1Cl,25287229
Candida albicans,5476,"5-decyl-1,3-thiazolidine-2,4-dione",71523933,CCCCCCCCCCC1C(=O)NC(=O)S1,24078467
Candida albicans,5476,5-Fluorocytosine,3366,C1=NC(=O)NC(=C1F)N,23689719
Pseudomonas aeruginosa,287,5-fluoroindole,67861,C1=CC2=C(C=CN2)C=C1F,22251040
Pseudomonas aeruginosa,287,5-Fluorouracil,3385,C1=C(C(=O)NC(=O)N1)F,28261183
Candida albicans,5476,"5-octyl-1,3-thiazolidine-2,4-dione",16058685,CCCCCCCCC1C(=O)NC(=O)S1,24078467
Escherichia coli,562,6-Aminoflavone,16217320,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)N,21930760
Pseudomonas aeruginosa,287,6-Chloroindole,87111,C1=CC(=CC2=C1C=CN2)Cl,25287229
Pseudomonas aeruginosa,287,6-Chlorooxindole,736344,C1C2=C(C=C(C=C2)Cl)NC1=O,25287229
Pseudomonas aeruginosa,287,6-fluoroindole,351278,C1=CC(=CC2=C1C=CN2)F,22251040
Pseudomonas aeruginosa,287,6-Gingerol,442793,CCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O,25728862
Escherichia coli,562,6-hydroxyflavone,72279,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O,21930760
Pseudomonas aeruginosa,287,7-bromoindole,2757020,C1=CC2=C(C(=C1)Br)NC=C2,22251040
Pseudomonas aeruginosa,287,7-chloroindole,104644,C1=CC2=C(C(=C1)Cl)NC=C2,22251040
Serratia marcescens,615,7-chloroquinolin-4-ol,66593,C1=CC2=C(C=C1Cl)NC=CC2=O,28350449
Pseudomonas aeruginosa,287,7-fluoroindole,2774504,C1=CC2=C(C(=C1)F)NC=C2,22251040
Pseudomonas aeruginosa,287,"7-fluoroindoline-2,3-dione",586418,C1=CC2=C(C(=C1)F)NC(=O)C2=O,22251040
Pseudomonas aeruginosa,287,7-formylindole,2734629,C1=CC2=C(C(=C1)C=O)NC=C2,22251040
Pseudomonas aeruginosa,287,7-hydroxyindole,2737651,C1=CC2=C(C(=C1)O)NC=C2,22251040
Pseudomonas aeruginosa,287,7-methoxyindole,76660,COC1=CC=CC2=C1NC=C2,22251040
Pseudomonas aeruginosa,287,7-methylindole,70275,CC1=C2C(=CC=C1)C=CN2,22251040
Pseudomonas aeruginosa,287,7-nitroindole,23396,C1=CC2=C(C(=C1)[N+](=O)[O-])NC=C2,22251040
Pseudomonas aeruginosa,287,8-fluoroquinoline,67856,C1=CC2=C(C(=C1)F)N=CC=C2,22251040
Porphyromonas gingivalis,837,"9-hydroxy-2-propyl-4H-pyrido[1,2-a]pyrimidin-4-one",12219996,CCCC1=CC(=O)N2C=CC=C(C2=N1)O,19778324
Candida albicans,5476,A-3,1960,C1=CC2=C(C=CC=C2Cl)C(=C1)S(=O)(=O)NCCN,21903824
Human immunodeficiency virus 1,11676,Abacavir,441300,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,8760340
Pseudomonas aeruginosa,287,Aceroside VIII,44715463,C1C(C(C(O1)OCC2C(C(C(C(O2)OC(CCCCC3=CC=C(C=C3)O)CCC4=CC=C(C=C4)O)O)O)O)O)(CO)O,27220074
Proteus mirabilis,584,Acetohydroxamic Acid,1990,CC(=O)NO,9760002
Enterobacter aerogenes,548,Acetohydroxamic Acid,1990,CC(=O)NO,11101668
Candida tropicalis,5482,AFP1,5484726,C1CC(=O)C2=C1C3=C(C4=C(C=C3O)OC5C4C=CO5)OC2=O,21736910
Pseudomonas aeruginosa,287,Ajoene,5386591,C=CCSSC=CCS(=O)CC=C,22314537
Shewanella oneidensis,70863,Albendazole,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,6518278
Candida albicans,5476,Alexidine dihydrochloride,102678,CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N.Cl.Cl,23689719
Streptococcus mutans,1309,Aloe-emodin,10207,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,17220400
Candida albicans,5476,alpha-costic acid,89043384,CC1=CCCC2(C1CC(CC2)C(=C)C(=O)O)C,26394911
Candida albicans,5476,alpha-Humulene,5281520,CC1=CCC(C=CCC(=CCC1)C)(C)C,2815533
Candida albicans,5476,alpha-Longipinene,12311396,CC1=CCC2C3C1C2(CCCC3(C)C)C,28155334
Staphylococcus epidermidis,1282,alpha-mangostin,5281650,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C,2834324
Bacillus cereus,1396,alpha-Pinene,6654,CC1=CCC2CC1C2(C)C,23789847
Escherichia coli,562,alpha-Pinene,6654,CC1=CCC2CC1C2(C)C,23789847
Candida albicans,5476,alpha-Pinene,6654,CC1=CCC2CC1C2(C)C,28155334
Staphylococcus aureus,1280,alpha-tocopherol,14985,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,28869803
Escherichia coli,562,Amikacin,37768,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N,10702385
Morganella morganii,582,Amikacin,37768,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N,15528892
Proteus vulgaris,585,Amikacin,37768,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N,15528892
Providencia stuartii,588,Amikacin,37768,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N,15528892
Escherichia coli,562,Amikacin disulfate salt,19082597,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N.OS(=O)(=O)O.OS(=O)(=O)O,24159313
Pseudomonas aeruginosa,287,Aminocyclopropane,69828,C1CC1N,25537269
Mycobacterium tuberculosis,1773,Aminosalicylic Acid,4649,C1=CC(=C(C=C1N)O)C(=O)O,17016423
Bacillus subtilis,1423,Amlodipine,2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,25038633
Bacillus subtilis,1423,Amoxicillin,33613,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,25038633
Listeria monocytogenes,1639,Amoxicillin,33613,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,25136010
Candida albicans,5476,Amphotericin B,5280965,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,16086075
Streptococcus pneumoniae,1313,Ampicillin,6249,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,7447421
Pseudomonas aeruginosa,287,Ampicillin,6249,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,24705563
Bacillus subtilis,1423,Ampicillin,6249,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,25038633
Listeria monocytogenes,1639,Ampicillin,6249,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,25136010
Staphylococcus aureus,1280,Ampicillin,6249,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,25764489
