micro_tid,micro_name
561177,Anaerococcus hydrogenalis DSM7454
428126,Clostridium spiroforme DSM1552
1509,Clostridium sporogenes
471871,Clostridium sporogenes ATCC15579
411472,Clostridium symbiosum ATCC14940
102106,Collinsella
74426,Collinsella aerofaciens
411903,Collinsella aerofaciens ATCC25986
521003,Collinsella intestinalis DSM13280
33042,Coprococcus
410072,Coprococcus comes
470146,Coprococcus comes ATCC27758
1716,Corynebacterium
28141,Cronobacter sakazakii
872,Desulfovibrio
876,Desulfovibrio desulfuricans
189330,Dorea
39486,Dorea formicigenerans
411461,Dorea formicigenerans ATCC27755
500638,Edwardsiella tarda ATCC23685
84112,Eggerthella lenta
547,Enterobacter
500639,Enterobacter cancerogenus ATCC35316
550,Enterobacter cloacae
1350,Enterococcus
37734,Enterococcus casseliflavus
1351,Enterococcus faecalis
469,Acinetobacter
226185,Enterococcus faecalis V583
1352,Enterococcus faecium
1354,Enterococcus hirae
561,Escherichia
562,Escherichia coli
445972,Anaerotruncus colihominis DSM17241
1322345,Escherichia coli ATCC 25922
679895,Escherichia coli BW25113
585397,Escherichia coli ED1a
585034,Escherichia coli IAI1
316435,Escherichia coli Nissle 1917
1730,Eubacterium
518637,Eubacterium biforme DSM3989
411469,Eubacterium hallii DSM3353
1736,Eubacterium limosum
39490,Eubacterium ramulus
515619,Eubacterium rectale ATCC33656
411463,Eubacterium ventriosum ATCC27560
216851,Faecalibacterium
853,Faecalibacterium prausnitzii
2701,Gardnerella
644652,Gordonibacter
210,Helicobacter pylori
570,Klebsiella
573,Klebsiella pneumoniae
55087,Bacillus
1578,Lactobacillus
1579,Lactobacillus acidophilus
1580,Lactobacillus brevis
1585,Lactobacillus delbrueckii subsp. bulgaricus
33959,Lactobacillus johnsonii
97478,Lactobacillus mucosae
1622,Lactobacillus murinus
1590,Lactobacillus plantarum
1598,Lactobacillus reuteri
525341,Lactobacillus reuteri CF48-3A BEI HM-102
47715,Lactobacillus rhamnosus
1357,Lactococcus
1363,Lactococcus garvieae
2172,Methanobrevibacter
2093,Mycoplasma
2100,Mycoplasma hyorhinis
28118,Odoribacter splanchnicus
459786,Oscillibacter
375288,Parabacteroides
823,Parabacteroides distasonis
816,Bacteroides
435591,Parabacteroides distasonis ATCC8503
537006,Parabacteroides johnsonii DSM18315
46503,Parabacteroides merdae
411477,Parabacteroides merdae ATCC43184
577310,Parasutterella
33024,Phascolarctobacterium
837,Porphyromonas gingivalis
838,Prevotella
165179,Prevotella copri
47678,Bacteroides caccae
28135,Prevotella oris
471881,Proteus penneri ATCC35198
411901,Bacteroides caccae ATCC43185
520999,Providencia alcalifaciens DSM30120
521000,Providencia rettgeri DSM1131
471874,Providencia stuartii ATCC25827
286,Pseudomonas
287,Pseudomonas aeruginosa
303,Pseudomonas putida
537012,Bacteroides cellulosilyticus DSM14838
841,Roseburia
301301,Roseburia hominis
166486,Roseburia intestinalis
536231,Roseburia intestinalis L1-82
1263,Ruminococcus
40518,Ruminococcus bromii
33038,Ruminococcus gnavus
411470,Ruminococcus gnavus ATCC29149
471875,Ruminococcus lactaris ATCC29176
411460,Ruminococcus torques ATCC27756
90371,Salmonella enterica subsp. enterica serovar Typhimurium
1279,Staphylococcus
1280,Staphylococcus aureus
1301,Streptococcus
1311,Streptococcus agalactiae
1318,Streptococcus parasanguinis
1314,Streptococcus pyogenes
28111,Bacteroides eggerthii
1304,Streptococcus salivarius
1308,Streptococcus thermophilus
292632,Subdoligranulum
411471,Subdoligranulum variabile DSM15176
40544,Sutterella
191303,Turicibacter
446660,Adlercreutzia equolifaciens
483216,Bacteroides eggerthii DSM20697
29466,Veillonella parvula
483215,Bacteroides finegoldii DSM17565
817,Bacteroides fragilis
1339284,Bacteroides fragilis 3397 T10
1339276,Bacteroides fragilis DS-208
1073386,Bacteroides fragilis HMW610
1073387,Bacteroides fragilis HMW615
272559,Bacteroides fragilis NCTC 9343
1339287,Bacteroides fragilis T(B)9
471870,Bacteroides intestinalis DSM17393
28116,Bacteroides ovatus
411476,Bacteroides ovatus ATCC8483
483218,Bacteroides pectinophilus ATCC43243
239934,Akkermansia
449673,Bacteroides stercoris ATCC43183
818,Bacteroides thetaiotaomicron
239935,Akkermansia muciniphila
226186,Bacteroides thetaiotaomicron VPI-5482
820,Bacteroides uniformis
411479,Bacteroides uniformis ATCC8492
821,Bacteroides vulgatus
435590,Bacteroides vulgatus ATCC8482
371601,Bacteroides xylanisolvens
349741,Akkermansia muciniphila ATCC BAA-835
397864,Barnesiella
487174,Barnesiella intestinihominis
1678,Bifidobacterium
1680,Bifidobacterium adolescentis
367928,Bifidobacterium adolescentis ATCC 15703
239759,Alistipes
1681,Bifidobacterium bifidum
1685,Bifidobacterium breve
518634,Bifidobacterium breve DSM20213
